User,digest,escape,students,walls,tourism,flipped,spam,Last valid submission,Global
Andrew H,100,100,100,100,100,100,100,2021-02-06 16:41:01,700
Benjamin Q,100,100,100,100,100,100,100,2021-02-06 16:55:19,700
Egor K,100,100,100,100,100,100,100,2021-02-06 16:59:21,700
Gennady K,100,100,100,100,100,100,100,2021-02-06 17:15:02,700
상수 박,100,100,100,100,100,100,100,2021-02-06 17:48:52,700
Jatin Y,100,100,100,100,100,97,100,2021-02-06 17:57:02,697
Arash M,100,100,100,100,100,96,100,2021-02-06 17:51:24,696
Erik-Jan K,100,100,100,100,100,78,100,2021-02-06 17:52:56,678
Kevin S,100,100,100,100,100,100,62,2021-02-06 17:21:14,662
Nick W,100,100,100,100,100,93,64,2021-02-06 17:10:11,657
Jeyeon S,100,100,100,100,100,90,59,2021-02-06 17:40:31,649
Hirotaka I,100,100,100,100,100,99,25,2021-02-06 17:34:08,624
Jonathan G,100,100,100,100,100,92,25,2021-02-06 17:48:30,617
Maksim G,100,100,100,100,100,100,0,2021-02-06 16:43:30,600
Zi Y,100,100,100,100,100,100,0,2021-02-06 16:55:14,600
Aleksey R,100,100,100,100,100,100,0,2021-02-06 17:45:29,600
William L,100,100,100,100,100,99,0,2021-02-06 17:49:14,599
Takuto K1,100,100,100,100,100,90,4,2021-02-06 17:40:33,594
Marcelo F,100,100,100,100,100,83,4,2021-02-06 17:51:44,587
Seunghyun J,100,100,100,100,100,85,1,2021-02-06 17:55:43,586
Nils G,100,100,100,100,100,67,0,2021-02-06 17:59:59,567
Wen P,100,100,100,49,100,100,0,2021-02-06 17:55:55,549
Jaehyun K,100,100,100,49,100,99,0,2021-02-06 17:05:26,548
Ace 0,100,100,100,100,100,33,0,2021-02-06 17:51:50,533
Jay L,100,100,100,14,100,100,0,2021-02-06 17:59:25,514
Nikusha B,100,100,100,100,13,95,0,2021-02-06 17:47:54,508
Arnav S,100,100,100,14,100,89,2,2021-02-06 17:59:49,505
