User,connect4,treasure,datacenter,skyscraper,crawlers,message,malicious,Last valid submission,Global
Gennady K,100,100,100,100,100,86,100,2021-02-07 3:14:54,686
Antonio M,100,100,100,100,100,80,88,2021-02-07 4:52:53,668
Nick W,100,100,100,100,100,75,87,2021-02-07 4:59:24,662
William L,100,100,100,100,100,78,36,2021-02-07 4:58:12,614
Jubayer N,100,100,100,100,100,71,32,2021-02-07 4:51:22,603
Nguyễn T,100,100,100,100,100,24,61,2021-02-07 4:50:35,585
Egor K,100,100,100,100,100,80,4,2021-02-07 3:42:57,584
Nhị V,100,100,100,100,100,52,9,2021-02-07 4:42:53,561
Yury P,100,100,100,100,100,30,0,2021-02-07 3:58:12,530
Sojisojisan S,100,100,100,100,0,52,77,2021-02-07 4:56:51,529
Ethan G,100,100,100,100,51,59,6,2021-02-07 4:51:27,516
Nguyễn R,100,100,100,100,100,11,0,2021-02-07 4:58:50,511
Định P,100,100,100,33,100,68,2,2021-02-07 4:53:17,503
Ryotaro S,100,100,100,100,0,72,29,2021-02-07 3:15:56,501
Raymond K,100,100,100,100,0,69,27,2021-02-07 3:41:56,496
Jay L,100,100,100,100,19,73,2,2021-02-07 4:45:03,494
Linh N,100,100,100,100,0,82,8,2021-02-07 3:27:54,490
Minkyu J,100,100,100,100,0,84,6,2021-02-07 4:40:20,490
Jeyeon S,100,100,100,100,0,74,15,2021-02-07 4:46:22,489
Araf R,100,100,29,100,100,57,0,2021-02-07 4:58:51,486
Sandro K,100,100,100,100,0,45,28,2021-02-07 4:49:15,473
Takuto K1,100,100,100,100,0,70,3,2021-02-07 4:50:15,473
Alexander F,100,100,100,100,0,71,0,2021-02-07 3:31:53,471
物理 好,100,100,100,100,0,59,12,2021-02-07 4:39:18,471
Ahmad Z,100,100,100,100,0,70,0,2021-02-07 4:33:40,470
Ashley K,100,100,100,100,0,66,0,2021-02-07 4:54:16,466
Arash M,100,100,100,100,0,64,0,2021-02-07 2:45:33,464
Wiwit R,100,100,100,100,0,64,0,2021-02-07 4:37:56,464
Okaduki O,98,100,100,100,0,59,4,2021-02-07 4:57:39,461
自华 吴,100,100,100,100,0,30,26,2021-02-07 4:04:19,456
Felipe M,100,100,100,100,51,1,0,2021-02-07 4:13:50,452
Chenguang Z,100,100,100,100,51,0,0,2021-02-07 4:25:49,451
Stanley Z,100,100,100,100,0,37,0,2021-02-07 4:50:08,437
William L1,100,100,100,100,0,36,0,2021-02-07 3:58:12,436
Ashiqul I,100,100,100,100,19,17,0,2021-02-07 4:29:27,436
Danny M,100,100,100,100,19,0,6,2021-02-07 4:13:49,425
Timothy Q,100,100,100,100,19,0,0,2021-02-07 4:30:19,419
Mohamed B,100,100,100,100,0,15,0,2021-02-07 3:26:36,415
José L,100,100,9,100,100,0,0,2021-02-07 4:16:36,409
Rumen H,100,100,100,100,0,0,7,2021-02-07 4:44:22,407
Mehmet E1,100,100,100,100,0,6,0,2021-02-07 4:36:45,406
Orhan U,100,100,100,100,0,2,0,2021-02-07 4:19:51,402
Taranpreet S1,100,100,100,100,0,1,0,2021-02-07 4:53:07,401
Hirotaka I,100,100,100,100,0,0,0,2021-02-07 1:38:22,400
Isaac M,100,100,100,100,0,0,0,2021-02-07 2:14:22,400
Carlos J,100,100,100,100,0,0,0,2021-02-07 4:05:58,400
Shunsuke N,100,100,100,100,0,0,0,2021-02-07 4:14:26,400
Tong K,100,100,20,0,0,78,100,2021-02-07 4:58:14,398
Rico F,100,100,29,100,0,58,0,2021-02-07 4:43:30,387
Ace 0,100,100,29,100,0,51,0,2021-02-07 4:58:51,380
Keita I,100,100,9,100,0,69,0,2021-02-07 4:59:46,378
Tiago F,100,100,100,71,0,0,0,2021-02-07 4:27:33,371
Aditya S8,100,100,100,11,0,58,0,2021-02-07 4:51:45,369
Michael T,100,100,20,71,0,71,0,2021-02-07 4:57:56,362
Harsh P10,90,100,29,0,0,46,81,2021-02-07 4:59:16,346
Sohel H,100,100,29,71,0,40,0,2021-02-07 4:59:42,340
Manpreet S,90,100,29,33,0,0,82,2021-02-07 4:58:19,334
Yash M2,100,100,29,100,0,4,0,2021-02-07 4:36:47,333
Mahmoud N,100,100,100,33,0,0,0,2021-02-07 4:48:51,333
Omurbek D,100,100,29,100,0,3,0,2021-02-07 4:51:42,332
Hocky Y,100,100,29,100,0,0,0,2021-02-07 2:28:16,329
Ibrahim D,100,100,29,100,0,0,0,2021-02-07 3:33:01,329
Pata H,100,100,29,100,0,0,0,2021-02-07 4:08:17,329
Bufftowel B,100,100,29,100,0,0,0,2021-02-07 4:15:53,329
Rohit V2,100,100,29,100,0,0,0,2021-02-07 4:48:34,329
Sarthak G4,100,100,29,100,0,0,0,2021-02-07 4:49:27,329
Wie W,100,100,29,100,0,0,0,2021-02-07 4:50:30,329
Khaled R,96,100,29,100,0,0,0,2021-02-07 4:36:14,325
Takuto K,100,100,100,11,0,1,0,2021-02-07 4:36:25,312
Arnav S,100,100,100,11,0,0,0,2021-02-07 1:45:22,311
Qingrong C,100,100,100,11,0,0,0,2021-02-07 2:35:13,311
大鳥 健,100,100,100,11,0,0,0,2021-02-07 3:56:59,311
M K3,100,100,100,11,0,0,0,2021-02-07 4:35:33,311
Ivan G2,100,100,100,0,0,0,9,2021-02-07 4:16:53,309
Souradeep P,100,100,29,71,0,1,7,2021-02-07 4:58:35,308
Patrick Z,100,100,100,0,0,4,0,2021-02-07 3:00:44,304
Teimuraz T,100,100,100,0,0,0,0,2021-02-07 1:43:18,300
Mohamed S,100,100,100,0,0,0,0,2021-02-07 2:11:09,300
Nanashi N,100,100,0,100,0,0,0,2021-02-07 2:14:06,300
Wang Z,100,100,100,0,0,0,0,2021-02-07 2:21:21,300
Vasyl B,100,100,0,100,0,0,0,2021-02-07 2:33:58,300
